,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
524,5,5,2,2.0,2.0,2.0,Car,Cycle,Walk,Car,Cycle,Walk,1.0
526,5,4,2,4.0,5.0,4.0,Walk,Other,None,Other,Walk,Other,0.0
527,2,3,1,3.0,3.0,3.0,Walk,Bus,None,Walk,Bus,Tram,1.0
528,2,6,1,5.0,5.0,1.0,Car,Walk,None,Bus,Tram,None,1.0
529,2,7,2,3.0,4.0,4.0,Walk,Bus,Car,Walk,Bus,Car,2.0
530,2,5,2,2.0,2.0,2.0,Car,Walk,None,Car,Bus,Walk,1.0
531,1,5,2,5.0,5.0,5.0,Walk,Cycle,None,Walk,Cycle,Bus,0.0
532,5,6,1,3.0,2.0,2.0,Walk,Car,None,Car,Walk,Bus,1.0
533,4,2,1,5.0,4.0,3.0,Bus,Car,Walk,Bus,Car,Walk,1.0
534,3,2,2,5.0,4.0,4.0,Car,Walk,None,Car,Taxi/Private hire car,Walk,2.0
535,4,2,1,3.0,3.0,3.0,Bus,None,,Bus,None,,0.0
536,5,2,1,5.0,5.0,3.0,Walk,Car,Cycle,Car,Cycle,Walk,1.0
537,3,1,1,2.0,4.0,4.0,Car,Walk,Cycle,Car,Bus,Walk,1.0
538,4,2,1,4.0,4.0,4.0,Bus,Taxi/Private hire car,Walk,Bus,Walk,Taxi/Private hire car,0.0
539,5,3,2,4.0,1.0,1.0,Car,Walk,None,Car,Walk,None,1.0
540,2,5,2,3.0,4.0,1.0,Car,Walk,Bus,Bus,Tram,Walk,2.0
541,4,6,1,3.0,4.0,3.0,Walk,Cycle,Car,Bus,Car,Walk,1.0
542,4,6,2,5.0,5.0,5.0,Walk,Car,None,Walk,Bus,Car,1.0
543,3,6,2,4.0,4.0,4.0,Walk,None,,Bus,Walk,Taxi/Private hire car,0.0
544,4,2,2,5.0,5.0,5.0,Taxi/Private hire car,Bus,Tram,Walk,Taxi/Private hire car,Bus,0.0
545,5,2,1,2.0,2.0,1.0,Car,Walk,Cycle,Car,Walk,Cycle,1.0
546,2,6,1,1.0,4.0,1.0,Bus,Car,Walk,Bus,Car,Walk,1.0
547,4,5,1,5.0,5.0,5.0,Walk,Bus,Car,Bus,Walk,None,0.0
548,3,5,2,3.0,1.0,1.0,Walk,Cycle,Bus,Walk,Cycle,Bus,0.0
549,4,5,1,5.0,3.0,1.0,Car,Walk,None,Bus,Walk,Tram,2.0
551,5,3,1,1.0,2.0,1.0,Car,Walk,Bus,Bus,Walk,Car,1.0
552,2,6,2,4.0,1.0,2.0,Tram,Bus,Car,Tram,Bus,Car,1.0
553,5,4,2,3.0,3.0,3.0,Walk,Car,Taxi/Private hire car,Walk,Bus,Car,1.0
554,2,3,1,5.0,5.0,5.0,Walk,Bus,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
555,3,4,1,5.0,4.0,4.0,Walk,None,,Bus,Tram,Walk,0.0
557,2,2,1,5.0,5.0,1.0,Walk,Bus,Car,Bus,Taxi/Private hire car,Walk,1.0
558,1,1,1,4.0,4.0,3.0,Walk,None,,Walk,Bus,None,0.0
559,2,5,2,1.0,2.0,1.0,Walk,Bus,Car,Taxi/Private hire car,Walk,Other,1.0
560,4,3,1,5.0,5.0,5.0,Walk,Cycle,Bus,Bus,Walk,Cycle,0.0
561,2,5,1,4.0,1.0,1.0,Car,Walk,None,Car,Bus,Tram,2.0
564,4,3,1,4.0,5.0,5.0,Other,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,Walk,1.0
566,1,3,2,5.0,5.0,4.0,Walk,Bus,Cycle,Walk,Bus,Cycle,0.0
567,5,3,1,5.0,4.0,3.0,Walk,Car,Bus,Walk,Bus,None,1.0
568,3,1,1,5.0,1.0,4.0,Tram,Walk,Tram,Motorcycle,Walk,Cycle,0.0
569,3,4,2,3.0,4.0,1.0,Car,Bus,Taxi/Private hire car,Car,Bus,Taxi/Private hire car,1.0
570,2,4,1,5.0,5.0,5.0,Walk,None,,Walk,Bus,None,0.0
571,5,4,1,5.0,5.0,5.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
572,3,5,1,3.0,3.0,3.0,Car,Walk,Cycle,Bus,Car,Taxi/Private hire car,2.0
573,5,7,2,2.0,2.0,2.0,Car,Walk,None,Bus,Car,Walk,1.0
575,1,6,2,2.0,2.0,2.0,Car,None,,Car,Bus,None,1.0
576,4,5,2,5.0,5.0,5.0,Bus,Walk,Car,Bus,Walk,Taxi/Private hire car,0.0
579,4,3,1,4.0,3.0,3.0,Walk,Car,Bus,Bus,Car,Walk,1.0
580,3,6,2,4.0,4.0,3.0,Walk,Car,Bus,Bus,Car,Walk,2.0
581,2,5,2,1.0,1.0,1.0,Car,Bus,None,Bus,Car,None,1.0
582,3,6,2,5.0,5.0,5.0,Bus,Taxi/Private hire car,Walk,Bus,Walk,None,1.0
